material_id,formula_pretty,formation_energy_per_atom,energy_above_hull,is_gap_direct,band_gap,spacegroup_number,structure,formula,composition,is_GGA_U
mp-1113578,Cs2AgAsBr6,-1.3744681338477025,0.0,False,1.1161,225,"Full Formula (Cs2 Ag1 As1 Br6)
Reduced Formula: Cs2AgAsBr6
abc   :   7.752956   7.752956   7.752956
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP         a       b        c    magmom
---  ----  ------  ------  -------  --------
  0  Cs    0.75    0.75     0.75          -0
  1  Cs    0.25    0.25     0.25          -0
  2  Ag    0.5     0.5      0.5           -0
  3  As    0       0       -0             -0
  4  Br    0.7568  0.2432   0.2432         0
  5  Br    0.2432  0.2432   0.7568         0
  6  Br    0.2432  0.7568   0.7568         0
  7  Br    0.2432  0.7568   0.2432         0
  8  Br    0.7568  0.2432   0.7568         0
  9  Br    0.7568  0.7568   0.2432         0",Cs2AgAsBr6,Cs2 Ag1 As1 Br6,0
mp-1113543,Cs2AgAsCl6,-1.562977739847701,0.0083119629999997,False,1.5886000000000002,225,"Full Formula (Cs2 Ag1 As1 Cl6)
Reduced Formula: Cs2AgAsCl6
abc   :   7.478556   7.478556   7.478556
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.75      0.75      0.75            -0
  1  Cs    0.25      0.25      0.25            -0
  2  Ag    0.5       0.5       0.5              0
  3  As    0         0         0               -0
  4  Cl    0.760458  0.239542  0.239542         0
  5  Cl    0.239542  0.239542  0.760458         0
  6  Cl    0.239542  0.760458  0.760458         0
  7  Cl    0.239542  0.760458  0.239542         0
  8  Cl    0.760458  0.239542  0.760458         0
  9  Cl    0.760458  0.760458  0.239542         0",Cs2AgAsCl6,Cs2 Ag1 As1 Cl6,0
mp-1114305,Cs2AgAsF6,-2.436755941347702,0.0556559693333369,False,2.4428,225,"Full Formula (Cs2 Ag1 As1 F6)
Reduced Formula: Cs2AgAsF6
abc   :   6.502002   6.502002   6.502002
angles:  59.999999  59.999999  59.999999
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.25      0.25      0.25             0
  1  Cs    0.75      0.75      0.75             0
  2  Ag    0.5       0.5       0.5              0
  3  As    0         0         0                0
  4  F     0.226721  0.773279  0.226721         0
  5  F     0.773279  0.773279  0.226721         0
  6  F     0.773279  0.226721  0.773279         0
  7  F     0.773279  0.226721  0.226721         0
  8  F     0.226721  0.773279  0.773279         0
  9  F     0.226721  0.226721  0.773279         0",Cs2AgAsF6,Cs2 Ag1 As1 F6,0
mp-1113575,Cs2AgAuBr6,-1.2554020240977013,0.0247430955000025,False,0.0,225,"Full Formula (Cs2 Ag1 Au1 Br6)
Reduced Formula: Cs2AgAuBr6
abc   :   7.763395   7.763395   7.763395
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.75      0.75      0.75            -0
  1  Cs    0.25      0.25      0.25            -0
  2  Ag    0.5       0.5       0.5             -0
  3  Au    0         0         0               -0
  4  Br    0.752924  0.247076  0.247076        -0
  5  Br    0.247076  0.247076  0.752924        -0
  6  Br    0.247076  0.752924  0.752924        -0
  7  Br    0.247076  0.752924  0.247076        -0
  8  Br    0.752924  0.247076  0.752924        -0
  9  Br    0.752924  0.752924  0.247076        -0",Cs2AgAuBr6,Cs2 Ag1 Au1 Br6,0
mp-568448,Cs2AgAuCl6,-1.3952626130977015,0.0540552130000118,False,0.0,225,"Full Formula (Cs2 Ag1 Au1 Cl6)
Reduced Formula: Cs2AgAuCl6
abc   :   7.382910   7.382910   7.382910
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.25      0.25      0.25             0
  1  Cs    0.75      0.75      0.75             0
  2  Ag    0.5       0.5       0.5              0
  3  Au    0         0         0               -0
  4  Cl    0.753343  0.753343  0.246657         0
  5  Cl    0.246657  0.753343  0.753343         0
  6  Cl    0.246657  0.246657  0.753343         0
  7  Cl    0.753343  0.246657  0.753343        -0
  8  Cl    0.246657  0.753343  0.246657        -0
  9  Cl    0.753343  0.246657  0.246657         0",Cs2AgAuCl6,Cs2 Ag1 Au1 Cl6,0
mp-1113576,Cs2AgAuF6,-1.952142382833324,0.046220554500028,False,0.0,225,"Full Formula (Cs2 Ag1 Au1 F6)
Reduced Formula: Cs2AgAuF6
abc   :   6.429639   6.429639   6.429639
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.75      0.75      0.75         0
  1  Cs    0.25      0.25      0.25         0
  2  Ag    0.5       0.5       0.5         -0
  3  Au    0         0         0            0.001
  4  F     0.754041  0.245959  0.245959     0
  5  F     0.245959  0.245959  0.754041     0
  6  F     0.245959  0.754041  0.754041     0
  7  F     0.245959  0.754041  0.245959     0
  8  F     0.754041  0.245959  0.754041     0
  9  F     0.754041  0.754041  0.245959     0",Cs2AgAuF6,Cs2 Ag1 Au1 F6,0
mp-1078250,Cs2AgBiBr6,-1.513185841097701,0.0055248698125018,False,1.3547,225,"Full Formula (Cs2 Ag1 Bi1 Br6)
Reduced Formula: Cs2AgBiBr6
abc   :   8.123452   8.123452   8.123452
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.75      0.75      0.75            -0
  1  Cs    0.25      0.25      0.25            -0
  2  Ag    0.5       0.5       0.5              0
  3  Bi    0         0         0                0
  4  Br    0.749194  0.250806  0.250806        -0
  5  Br    0.250806  0.250806  0.749194        -0
  6  Br    0.250806  0.749194  0.749194        -0
  7  Br    0.250806  0.749194  0.250806        -0
  8  Br    0.749194  0.250806  0.749194        -0
  9  Br    0.749194  0.749194  0.250806        -0",Cs2AgBiBr6,Cs2 Ag1 Bi1 Br6,0
mp-1078258,Cs2AgBiCl6,-1.7101969740977032,0.0,False,1.8663,225,"Full Formula (Cs2 Ag1 Bi1 Cl6)
Reduced Formula: Cs2AgBiCl6
abc   :   7.641895   7.641895   7.641895
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Cs     0.75      0.75       0.75            -0
  1  Cs     0.25      0.25       0.25            -0
  2  Ag     0.5       0.5        0.5             -0
  3  Bi    -0         0         -0               -0
  4  Cl     0.749457  0.250543   0.250543         0
  5  Cl     0.250543  0.250543   0.749457         0
  6  Cl     0.250543  0.749457   0.749457         0
  7  Cl     0.250543  0.749457   0.250543         0
  8  Cl     0.749457  0.250543   0.749457         0
  9  Cl     0.749457  0.749457   0.250543         0",Cs2AgBiCl6,Cs2 Ag1 Bi1 Cl6,0
mp-1114309,Cs2AgBiF6,-2.574414822597702,0.0,False,2.7645,225,"Full Formula (Cs2 Ag1 Bi1 F6)
Reduced Formula: Cs2AgBiF6
abc   :   6.610132   6.610133   6.610133
angles:  59.999999  59.999999  59.999999
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Cs    0.25      0.25       0.25            -0
  1  Cs    0.75      0.75       0.75            -0
  2  Ag    0.5       0.5        0.5             -0
  3  Bi    0         0         -0               -0
  4  F     0.241271  0.758729   0.241271         0
  5  F     0.758729  0.758729   0.241271         0
  6  F     0.758729  0.241271   0.758729         0
  7  F     0.758729  0.241271   0.241271         0
  8  F     0.241271  0.758729   0.758729         0
  9  F     0.241271  0.241271   0.758729         0",Cs2AgBiF6,Cs2 Ag1 Bi1 F6,0
mp-1113264,Cs2AgBiI6,-1.1240679380977014,0.0297026883125006,False,0.8526,225,"Full Formula (Cs2 Ag1 Bi1 I6)
Reduced Formula: Cs2AgBiI6
abc   :   8.664687   8.664687   8.664687
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (10)
  #  SP          a        b        c    magmom
---  ----  -------  -------  -------  --------
  0  Cs    0.75     0.75     0.75           -0
  1  Cs    0.25     0.25     0.25           -0
  2  Ag    0.5      0.5      0.5             0
  3  Bi    0        0        0               0
  4  I     0.74694  0.25306  0.25306        -0
  5  I     0.25306  0.25306  0.74694        -0
  6  I     0.25306  0.74694  0.74694        -0
  7  I     0.25306  0.74694  0.25306        -0
  8  I     0.74694  0.25306  0.74694        -0
  9  I     0.74694  0.74694  0.25306        -0",Cs2AgBiI6,Cs2 Ag1 Bi1 I6,0
